;country;province;region_1;lat;lon
103;Chile;Leyda Valley;;7.308692;-61.8478915
104;Italy;Tuscany;Toscana;0.0;0.0
105;Italy;Tuscany;Toscana;0.0;0.0
106;Italy;Tuscany;Toscana;0.0;0.0
107;Italy;Tuscany;Toscana;0.0;0.0
108;US;California;Santa Clara Valley;0.0;0.0
109;Italy;Tuscany;Toscana;0.0;0.0
110;France;Beaujolais;Brouilly;0.0;0.0
111;US;California;Yountville;0.0;0.0
112;Italy;Tuscany;Toscana;0.0;0.0
113;Italy;Tuscany;Toscana;0.0;0.0
114;US;California;Paso Robles;0.0;0.0
115;US;California;Paso Robles;0.0;0.0
116;US;California;Santa Ynez Valley;0.0;0.0
117;US;California;Central Coast;0.0;0.0
118;Italy;Tuscany;Toscana;0.0;0.0
119;France;Alsace;Alsace;48.5813647;7.7421809
120;Italy;Piedmont;Barolo;0.0;0.0
121;US;California;Alexander Valley;0.0;0.0
122;US;California;Rockpile;0.0;0.0
123;Australia;South Australia;Padthaway;-34.7411213;138.6564373
124;US;California;Napa Valley;0.0;0.0
125;South Africa;Stellenbosch;;-23.0379481;30.6493787
126;France;Alsace;Alsace;48.5813647;7.7421809
127;France;Alsace;Alsace;48.5813647;7.7421809
128;France;Alsace;Alsace;48.5813647;7.7421809
129;South Africa;Stellenbosch;;-23.0379481;30.6493787
130;Italy;Piedmont;Barolo;0.0;0.0
131;France;Alsace;Alsace;48.5813647;7.7421809
132;South Africa;Simonsberg-Stellenbosch;;-23.0379481;30.6493787
133;Italy;Piedmont;Barolo;0.0;0.0
134;US;California;Napa Valley;0.0;0.0
135;Italy;Piedmont;Barolo;0.0;0.0
136;France;Bordeaux;Saint-Émilion;44.7936698;-0.668297
137;South Africa;Walker Bay;;-23.0379481;30.6493787
138;France;Alsace;Alsace;48.5813647;7.7421809
139;France;Alsace;Alsace;48.5813647;7.7421809
140;Italy;Piedmont;Barbera d'Alba;0.0;0.0
141;Italy;Piedmont;Barolo;0.0;0.0
142;US;California;Santa Lucia Highlands;0.0;0.0
143;France;Alsace;Alsace;48.5813647;7.7421809
144;US;California;Spring Mountain District;0.0;0.0
145;US;California;Santa Lucia Highlands;0.0;0.0
146;US;California;Santa Ynez Valley;0.0;0.0
147;US;California;Santa Ynez Valley;0.0;0.0
148;Germany;Rheinhessen;;31.4399019;-95.350778
149;US;California;Monterey;0.0;0.0
150;US;California;Napa Valley;0.0;0.0
151;Portugal;Alentejano;;-1.6292632;-45.2368151
152;US;California;Carmel Valley;0.0;0.0
153;US;California;Paso Robles;0.0;0.0
154;Spain;Central Spain;Dominio de Valdepusa;0.0;0.0
155;US;California;Santa Cruz Mountains;0.0;0.0
156;Germany;Mosel;;31.4399019;-95.350778
157;Portugal;Alentejano;;-1.6292632;-45.2368151
158;Italy;Tuscany;Chianti Classico;0.0;0.0
159;Italy;Tuscany;Brunello di Montalcino;0.0;0.0
160;France;Southwest France;Cahors;0.0;0.0
161;US;California;Paso Robles;0.0;0.0
162;US;California;Edna Valley;0.0;0.0
163;France;Beaujolais;Moulin-à-Vent;0.0;0.0
164;Chile;Aconcagua Valley;;7.308692;-61.8478915
165;Chile;Maipo Valley;;7.308692;-61.8478915
166;France;Southwest France;Madiran;0.0;0.0
167;US;California;Paso Robles;0.0;0.0
168;US;California;Napa Valley;0.0;0.0
169;US;California;Russian River Valley;0.0;0.0
170;Germany;Mosel;;31.4399019;-95.350778
171;Germany;Mosel;;31.4399019;-95.350778
172;Chile;Loncomilla Valley;;7.308692;-61.8478915
173;US;Oregon;Willamette Valley;0.0;0.0
174;New Zealand;Marlborough;;46.4099904;-62.313043
175;Italy;Northeastern Italy;Alto Adige;0.0;0.0
176;Chile;Maipo Valley;;7.308692;-61.8478915
177;Italy;Tuscany;Chianti Classico;0.0;0.0
178;US;California;Sonoma Valley;0.0;0.0
179;France;Burgundy;Chablis;0.0;0.0
180;US;California;Santa Lucia Highlands;0.0;0.0
181;US;California;Arroyo Seco;0.0;0.0
182;Italy;Tuscany;Brunello di Montalcino;0.0;0.0
183;Argentina;Other;Salta;0.0;0.0
184;US;California;Sonoma Coast;0.0;0.0
185;Chile;Colchagua Valley;;7.308692;-61.8478915
186;US;California;Anderson Valley;0.0;0.0
187;Italy;Sicily & Sardinia;Sicilia;32.1840381;-96.8847194
188;Chile;Colchagua Valley;;7.308692;-61.8478915
189;Chile;Casablanca Valley;;7.308692;-61.8478915
190;Italy;Southern Italy;Campania;0.0;0.0
191;Australia;South Australia;Padthaway;-34.7411213;138.6564373
192;Italy;Veneto;Rosso del Veronese;0.0;0.0
193;France;Burgundy;St.-Romain;0.0;0.0
194;Italy;Tuscany;Chianti Classico;0.0;0.0
195;Italy;Tuscany;Vino Nobile di Montepulciano;0.0;0.0
196;Italy;Tuscany;Vernaccia di San Gimignano;0.0;0.0
197;South Africa;Western Cape;;-23.0379481;30.6493787
198;US;California;Napa Valley;0.0;0.0
199;US;California;Nevada County;0.0;0.0
200;Italy;Tuscany;Brunello di Montalcino;0.0;0.0
201;Italy;Northeastern Italy;Alto Adige;0.0;0.0
202;Israel;Judean Hills;;32.6307267;35.3488686
203;Portugal;Alentejo;;-1.6292632;-45.2368151
204;US;California;Paso Robles;0.0;0.0
205;US;California;Arroyo Seco;0.0;0.0
206;US;California;Napa Valley;0.0;0.0
207;US;California;Dry Creek Valley;0.0;0.0
208;South Africa;Coastal Region;;-23.0379481;30.6493787
209;France;Rhône Valley;Côtes du Rhône;0.0;0.0
210;South Africa;Western Cape;;-23.0379481;30.6493787
211;France;Rhône Valley;Vacqueyras;0.0;0.0
212;Spain;Northern Spain;Rueda;0.0;0.0
213;US;California;Paso Robles;0.0;0.0
214;US;California;Dry Creek Valley;0.0;0.0
215;Israel;Galilee;;32.6307267;35.3488686
216;Italy;Tuscany;Brunello di Montalcino;0.0;0.0
217;Portugal;Beira Atlantico;;-1.6292632;-45.2368151
218;US;California;Napa Valley;0.0;0.0
219;Hungary;Tokaj;;41.9767629;-72.7789842
220;US;California;Sonoma Coast;0.0;0.0
221;Italy;Northeastern Italy;Alto Adige;0.0;0.0
222;Italy;Tuscany;Brunello di Montalcino;0.0;0.0
223;Italy;Northeastern Italy;Alto Adige;0.0;0.0
224;Argentina;Mendoza Province;Luján de Cuyo;0.0;0.0
225;South Africa;Stellenbosch;;-23.0379481;30.6493787
226;South Africa;Stellenbosch;;-23.0379481;30.6493787
227;US;New York;Finger Lakes;43.0481221;-76.1474244
228;US;New York;Cayuga Lake;43.0481221;-76.1474244
229;US;California;Napa Valley;0.0;0.0
230;US;New York;Finger Lakes;43.0481221;-76.1474244
231;Argentina;Mendoza Province;Mendoza;0.0;0.0
232;Australia;South Australia;South Australia;-34.7411213;138.6564373
233;US;Oregon;Willamette Valley;0.0;0.0
234;Italy;Central Italy;Montepulciano d'Abruzzo;0.0;0.0
235;US;California;Santa Barbara County;0.0;0.0
236;US;California;Diamond Mountain District;0.0;0.0
237;Italy;Central Italy;San Marino;0.0;0.0
238;Australia;South Australia;McLaren Vale;-34.7411213;138.6564373
239;US;California;Mendocino;0.0;0.0
240;France;Southwest France;Vin de Pays des Côtes de Gascogne;0.0;0.0
241;US;California;Napa Valley;0.0;0.0
242;US;California;Russian River Valley;0.0;0.0
243;US;New York;Finger Lakes;43.0481221;-76.1474244
244;Spain;Northern Spain;Vino de la Tierra de Castilla y León;0.0;0.0
245;Argentina;Other;San Juan;0.0;0.0
246;Australia;South Australia;Adelaide Hills;-34.7411213;138.6564373
247;US;California;Sonoma Mountain;0.0;0.0
248;US;Oregon;Willamette Valley;0.0;0.0
249;US;Virginia;Monticello;0.0;0.0
250;US;California;Alexander Valley;0.0;0.0
251;US;Oregon;Willamette Valley;0.0;0.0
252;US;California;Amador County;0.0;0.0
253;Argentina;Mendoza Province;Luján de Cuyo;0.0;0.0
254;US;California;St. Helena;0.0;0.0
255;US;California;Cole Ranch;0.0;0.0
256;South Africa;Coastal Region;;-23.0379481;30.6493787
257;South Africa;Coastal Region;;-23.0379481;30.6493787
258;South Africa;Stellenbosch;;-23.0379481;30.6493787
259;France;Southwest France;Cahors;0.0;0.0
260;US;Oregon;Willamette Valley;0.0;0.0
261;Argentina;Mendoza Province;;27.0854542;-109.1412408
262;US;California;Napa Valley;0.0;0.0
263;US;California;Santa Maria Valley;0.0;0.0
264;South Africa;Stellenbosch;;-23.0379481;30.6493787
265;South Africa;Stellenbosch;;-23.0379481;30.6493787
266;Argentina;Mendoza Province;Mendoza;0.0;0.0
267;Italy;Central Italy;Torgiano;0.0;0.0
268;Italy;Veneto;Veneto;0.0;0.0
269;Austria;Leithaberg;;25.22539605;55.16431379427327
270;Italy;Northeastern Italy;Colli Orientali del Friuli;0.0;0.0
271;Greece;Santorini;;43.2097838;-77.6930602
272;Italy;Northeastern Italy;Alto Adige;0.0;0.0
273;Argentina;Mendoza Province;Uco Valley;0.0;0.0
274;Italy;Piedmont;Monferrato;0.0;0.0
275;Argentina;Mendoza Province;Mendoza;0.0;0.0
276;US;California;Sonoma County;0.0;0.0
277;US;California;Napa Valley;0.0;0.0
278;US;Oregon;Willamette Valley;0.0;0.0
279;Italy;Northeastern Italy;Alto Adige;0.0;0.0
280;Austria;Kremstal;;25.22539605;55.16431379427327
281;US;California;Santa Maria Valley;0.0;0.0
282;Italy;Tuscany;Toscana;0.0;0.0
283;US;Oregon;Dundee Hills;0.0;0.0
284;Argentina;Mendoza Province;Perdriel;0.0;0.0
285;Austria;Kremstal;;25.22539605;55.16431379427327
286;US;California;Arroyo Grande Valley;0.0;0.0
287;Spain;Catalonia;Montsant;0.0;0.0
288;Austria;Kremstal;;25.22539605;55.16431379427327
289;US;California;Napa Valley;0.0;0.0
290;France;Bordeaux;Saint-Estèphe;44.7936698;-0.668297
291;Italy;Central Italy;Sagrantino di Montefalco;0.0;0.0
292;France;France Other;Arbois;0.0;0.0
293;Australia;South Australia;Barossa Valley;-34.7411213;138.6564373
294;Argentina;Mendoza Province;Tupungato;0.0;0.0
295;US;California;Paso Robles;0.0;0.0
296;Chile;Maipo Valley;;7.308692;-61.8478915
297;US;California;Napa Valley;0.0;0.0
298;Chile;Aconcagua Valley;;7.308692;-61.8478915
299;Italy;Piedmont;Langhe;0.0;0.0
300;US;California;Napa Valley;0.0;0.0
301;US;Washington;Columbia Valley (WA);48.2627925;-124.24959706003952
302;Italy;Piedmont;Roero;0.0;0.0
303;Italy;Piedmont;Barolo;0.0;0.0
304;Italy;Piedmont;Barbera d'Asti Superiore Nizza;0.0;0.0
305;US;California;Mendocino County;0.0;0.0
306;Romania;Recas;;45.49288425;21.71999265492126
307;France;Burgundy;Côte de Nuits-Villages;0.0;0.0
308;Greece;Santorini;;43.2097838;-77.6930602
309;Italy;Piedmont;Langhe;0.0;0.0
310;Italy;Piedmont;Langhe;0.0;0.0
311;New Zealand;Hawke's Bay;;46.4099904;-62.313043
312;US;California;Napa Valley;0.0;0.0
313;Italy;Piedmont;Roero;0.0;0.0
314;US;California;Napa Valley;0.0;0.0
315;Italy;Veneto;Prosecco di Valdobbiadene;0.0;0.0
316;France;Bordeaux;Bordeaux Blanc;44.7936698;-0.668297
317;France;Bordeaux;Bordeaux Blanc;44.7936698;-0.668297
318;Chile;Curicó Valley;;7.308692;-61.8478915
319;Italy;Veneto;Veneto;0.0;0.0
320;Italy;Veneto;Prosecco di Valdobbiadene;0.0;0.0
321;Italy;Veneto;Prosecco di Valdobbiadene;0.0;0.0
322;Italy;Veneto;Prosecco di Valdobbiadene;0.0;0.0
323;Chile;Colchagua Valley;;7.308692;-61.8478915
324;Italy;Veneto;Prosecco di Conegliano;0.0;0.0
325;US;New York;Finger Lakes;43.0481221;-76.1474244
326;Italy;Veneto;Prosecco di Valdobbiadene;0.0;0.0
327;Chile;Limarí Valley;;7.308692;-61.8478915
328;US;California;Knights Valley;0.0;0.0
329;US;California;Mendocino;0.0;0.0
330;US;California;Central Coast;0.0;0.0
331;Chile;Casablanca Valley;;7.308692;-61.8478915
332;Italy;Veneto;Prosecco di Conegliano;0.0;0.0
333;Italy;Veneto;Prosecco di Valdobbiadene;0.0;0.0
334;France;Champagne;Champagne;48.5813647;7.7421809
335;Italy;Veneto;Prosecco di Conegliano;0.0;0.0
336;Chile;Colchagua Costa;;7.308692;-61.8478915
337;France;Languedoc-Roussillon;Languedoc;0.0;0.0
338;France;Provence;Coteaux Varois en Provence;0.0;0.0
339;Spain;Catalonia;Cava;0.0;0.0
340;France;Alsace;Alsace;48.5813647;7.7421809
341;US;California;Dry Creek Valley;0.0;0.0
342;Spain;Catalonia;Cava;0.0;0.0
343;Chile;Rapel Valley;;7.308692;-61.8478915
344;Chile;Leyda Valley;;7.308692;-61.8478915
345;Australia;Victoria;Rutherglen;-11.3299555;-67.6954911
346;Australia;Victoria;Rutherglen;-11.3299555;-67.6954911
347;Germany;Rheingau;;31.4399019;-95.350778
348;Australia;Victoria;Rutherglen;-11.3299555;-67.6954911
349;Australia;South Australia;Barossa;-34.7411213;138.6564373
350;Italy;Piedmont;Barolo;0.0;0.0
351;Hungary;Tokaji;;41.9767629;-72.7789842
352;US;California;Russian River Valley;0.0;0.0
353;France;Burgundy;Montrachet;0.0;0.0
354;Germany;Rheingau;;31.4399019;-95.350778
355;US;California;Russian River Valley;0.0;0.0
356;Australia;Victoria;Heathcote;-11.3299555;-67.6954911
357;France;Burgundy;Clos de Vougeot;0.0;0.0
358;Germany;Rheingau;;31.4399019;-95.350778
359;France;Burgundy;Chassagne-Montrachet;0.0;0.0
360;Australia;South Australia;Barossa Valley;-34.7411213;138.6564373
361;Italy;Piedmont;Barolo;0.0;0.0
362;US;California;Diamond Mountain District;0.0;0.0
363;France;Burgundy;Criots-Bâtard-Montrachet;0.0;0.0
364;US;Oregon;Dundee Hills;0.0;0.0
365;Australia;South Australia;Clare Valley;-34.7411213;138.6564373
366;Italy;Northeastern Italy;Alto Adige;0.0;0.0
367;Chile;Maipo Valley;;7.308692;-61.8478915
368;Italy;Veneto;Bianco di Custoza;0.0;0.0
369;Italy;Northeastern Italy;Friuli;0.0;0.0
370;US;California;Sonoma Valley;0.0;0.0
371;Italy;Northeastern Italy;Alto Adige;0.0;0.0
372;Italy;Veneto;Soave;0.0;0.0
373;Italy;Northeastern Italy;Collio;0.0;0.0
374;US;California;Mendocino County;0.0;0.0
375;Italy;Tuscany;Toscana;0.0;0.0
376;Italy;Northeastern Italy;Colli Orientali del Friuli;0.0;0.0
377;Greece;Naoussa;;43.2097838;-77.6930602
378;Mexico;Valle de Guadalupe;;19.4326296;-99.1331785
379;Italy;Northeastern Italy;Trentino;0.0;0.0
380;Chile;Rapel Valley;;7.308692;-61.8478915
381;Italy;Veneto;Bianco di Custoza;0.0;0.0
382;Chile;Maipo Valley;;7.308692;-61.8478915
383;Italy;Veneto;Valdadige;0.0;0.0
384;Italy;Northeastern Italy;Alto Adige;0.0;0.0
385;US;California;Rutherford;0.0;0.0
386;US;California;Russian River Valley;0.0;0.0
387;US;California;Alexander Valley;0.0;0.0
388;US;California;Edna Valley;0.0;0.0
389;Italy;Northeastern Italy;Alto Adige;0.0;0.0
390;Chile;Maipo Valley;;7.308692;-61.8478915
391;Chile;Central Valley;;7.308692;-61.8478915
392;US;California;Santa Ynez Valley;0.0;0.0
393;Chile;Lontué Valley;;7.308692;-61.8478915
394;Chile;Maipo Valley;;7.308692;-61.8478915
395;Italy;Northeastern Italy;Collio;0.0;0.0
396;US;California;California;0.0;0.0
397;Chile;Colchagua Valley;;7.308692;-61.8478915
398;Chile;Curicó Valley;;7.308692;-61.8478915
399;Italy;Veneto;Prosecco di Valdobbiadene;0.0;0.0
400;Italy;Italy Other;Italy;0.0;0.0
401;Italy;Veneto;Prosecco di Valdobbiadene;0.0;0.0
402;Chile;Colchagua Valley;;7.308692;-61.8478915
403;US;California;California;0.0;0.0
404;US;California;Santa Barbara County;0.0;0.0
405;Italy;Veneto;Prosecco del Veneto;0.0;0.0
406;France;Champagne;Champagne;48.5813647;7.7421809
407;Chile;Casablanca Valley;;7.308692;-61.8478915
408;Italy;Veneto;Prosecco di Conegliano e Valdobbiadene;0.0;0.0
409;US;New York;Finger Lakes;43.0481221;-76.1474244
410;US;New York;Finger Lakes;43.0481221;-76.1474244
411;US;California;California;0.0;0.0
412;Italy;Veneto;Prosecco di Valdobbiadene;0.0;0.0
413;Italy;Veneto;Prosecco del Veneto;0.0;0.0
414;Italy;Veneto;Prosecco del Veneto;0.0;0.0
415;US;New York;Finger Lakes;43.0481221;-76.1474244
416;Italy;Veneto;Prosecco del Veneto;0.0;0.0
417;Italy;Veneto;Prosecco del Veneto;0.0;0.0
418;Austria;Burgenland;;25.22539605;55.16431379427327
419;France;Bordeaux;Graves;44.7936698;-0.668297
420;France;Bordeaux;Bordeaux Blanc;44.7936698;-0.668297
421;US;Washington;Columbia Valley (WA);48.2627925;-124.24959706003952
422;US;Washington;Walla Walla Valley (WA);48.2627925;-124.24959706003952
423;Austria;Weinviertel;;25.22539605;55.16431379427327
424;US;California;California;0.0;0.0
425;US;New York;New York;43.0481221;-76.1474244
426;Spain;Northern Spain;Rioja;0.0;0.0
427;US;New York;North Fork of Long Island;43.0481221;-76.1474244
428;Austria;Kremstal;;25.22539605;55.16431379427327
429;US;Washington;Wahluke Slope;48.2627925;-124.24959706003952
430;US;California;Santa Ynez Valley;0.0;0.0
431;US;California;Templeton Gap District;0.0;0.0
432;US;Washington;Snipes Mountain;48.2627925;-124.24959706003952
433;US;California;Santa Barbara County;0.0;0.0
434;Italy;Piedmont;Barolo;0.0;0.0
435;Austria;Thermenregion;;25.22539605;55.16431379427327
436;Italy;Piedmont;Gavi;0.0;0.0
437;US;California;Alexander Valley;0.0;0.0
438;Spain;Northern Spain;Bierzo;0.0;0.0
439;Spain;Northern Spain;Vino de la Tierra de Castilla y León;0.0;0.0
440;US;Washington;Walla Walla Valley (WA);48.2627925;-124.24959706003952
441;Austria;Niederösterreich;;25.22539605;55.16431379427327
442;US;New York;Long Island;43.0481221;-76.1474244
443;US;California;Sonoma Valley;0.0;0.0
444;Austria;Wagram;;25.22539605;55.16431379427327
445;Italy;Sicily & Sardinia;Etna;32.1840381;-96.8847194
446;US;California;Paso Robles;0.0;0.0
447;France;Loire Valley;Muscadet Sèvre et Maine;0.0;0.0
448;France;Rhône Valley;Côtes du Rhône;0.0;0.0
449;Italy;Lombardy;Franciacorta;0.0;0.0
450;France;Champagne;Champagne;48.5813647;7.7421809
451;Italy;Tuscany;Vino Nobile di Montepulciano;0.0;0.0
452;France;Burgundy;Meursault;0.0;0.0
453;France;Champagne;Champagne;48.5813647;7.7421809
454;Canada;Ontario;Niagara-On-The-Lake;44.5502568;-78.3429639
455;US;California;Carneros;0.0;0.0
456;US;California;Anderson Valley;0.0;0.0
457;US;California;Santa Maria Valley;0.0;0.0
458;Italy;Lombardy;Franciacorta;0.0;0.0
459;France;Champagne;Champagne;48.5813647;7.7421809
460;US;Oregon;Ribbon Ridge;0.0;0.0
461;US;Oregon;Dundee Hills;0.0;0.0
462;France;Burgundy;Meursault;0.0;0.0
463;France;Champagne;Champagne;48.5813647;7.7421809
464;Germany;Rheinhessen;;31.4399019;-95.350778
465;Italy;Veneto;Amarone della Valpolicella;0.0;0.0
466;France;Champagne;Champagne;48.5813647;7.7421809
467;US;Oregon;Willamette Valley;0.0;0.0
468;Germany;Mosel;;31.4399019;-95.350778
469;Germany;Mosel;;31.4399019;-95.350778
470;France;Champagne;Champagne;48.5813647;7.7421809
471;France;Burgundy;Chambolle-Musigny;0.0;0.0
472;France;Burgundy;Chambolle-Musigny;0.0;0.0
473;Portugal;Alentejano;;-1.6292632;-45.2368151
474;France;Champagne;Champagne;48.5813647;7.7421809
475;US;California;Rutherford;0.0;0.0
476;US;California;Napa Valley;0.0;0.0
477;France;Bordeaux;Pomerol;44.7936698;-0.668297
478;France;Champagne;Champagne;48.5813647;7.7421809
479;Italy;Sicily & Sardinia;Cannonau di Sardegna;32.1840381;-96.8847194
480;US;Washington;Red Mountain;48.2627925;-124.24959706003952
481;Italy;Sicily & Sardinia;Isola dei Nuraghi;32.1840381;-96.8847194
482;US;California;Sta. Rita Hills;0.0;0.0
483;South Africa;Stellenbosch;;-23.0379481;30.6493787
484;South Africa;Western Cape;;-23.0379481;30.6493787
485;France;Rhône Valley;Côtes du Rhône Villages;0.0;0.0
486;US;California;Sonoma County;0.0;0.0
487;Italy;Northeastern Italy;Colli Orientali del Friuli;0.0;0.0
488;Italy;Northeastern Italy;Friuli Grave;0.0;0.0
489;Italy;Northeastern Italy;Friuli Grave;0.0;0.0
490;Spain;Catalonia;Cava;0.0;0.0
491;Austria;Kremstal;;25.22539605;55.16431379427327
492;US;Washington;Walla Walla Valley (WA);48.2627925;-124.24959706003952
493;US;Washington;Red Mountain;48.2627925;-124.24959706003952
494;US;New York;Finger Lakes;43.0481221;-76.1474244
495;US;California;El Dorado;0.0;0.0
496;Spain;Northern Spain;Rueda;0.0;0.0
497;US;California;Suisun Valley;0.0;0.0
498;US;California;Carneros;0.0;0.0
499;France;Provence;Côtes de Provence;0.0;0.0
500;Spain;Northern Spain;Rioja;0.0;0.0
501;US;California;Lodi;0.0;0.0
502;Austria;Österreichischer Sekt;;25.22539605;55.16431379427327
503;US;California;Russian River Valley;0.0;0.0
504;France;Rhône Valley;Côtes du Rhône;0.0;0.0
505;Spain;Northern Spain;Vino de la Tierra de Castilla y León;0.0;0.0
506;Italy;Northeastern Italy;Venezia Giulia;0.0;0.0
507;US;Washington;Wahluke Slope;48.2627925;-124.24959706003952
508;US;Washington;Yakima Valley;48.2627925;-124.24959706003952
509;US;California;Napa Valley;0.0;0.0
510;US;California;Monterey County;0.0;0.0
511;France;Champagne;Champagne;48.5813647;7.7421809
512;France;Champagne;Champagne;48.5813647;7.7421809
513;US;California;Chiles Valley;0.0;0.0
514;Chile;Colchagua Valley;;7.308692;-61.8478915
515;US;California;Sonoma Coast;0.0;0.0
516;US;California;Russian River Valley;0.0;0.0
517;US;California;Russian River Valley;0.0;0.0
518;France;Burgundy;Mercurey;0.0;0.0
